intensidade,contagem
0,2
1,1
2,2
3,1
4,1
5,2
6,1
7,2
8,1
9,1
10,2
11,3
12,16
13,27
14,29
15,39
16,48
17,58
18,72
19,181
20,88
21,91
22,86
23,101
24,103
25,115
26,124
27,125
28,135
29,140
30,150
31,140
32,155
33,165
34,150
35,175
36,168
37,250
38,199
39,192
40,205
41,209
42,218
43,224
44,242
45,242
46,249
47,252
48,268
49,287
50,278
51,289
52,305
53,299
54,282
55,321
56,374
57,296
58,328
59,325
60,360
61,334
62,329
63,322
64,346
65,377
66,318
67,346
68,368
69,367
70,345
71,327
72,358
73,356
74,380
75,349
76,355
77,345
78,337
79,370
80,351
81,376
82,343
83,390
84,344
85,354
86,349
87,350
88,395
89,349
90,352
91,352
92,360
93,363
94,342
95,366
96,332
97,372
98,322
99,368
100,338
101,384
102,399
103,342
104,358
105,339
106,355
107,344
108,365
109,348
110,351
111,397
112,335
113,373
114,342
115,395
116,351
117,351
118,362
119,346
120,378
121,341
122,371
123,344
124,359
125,351
126,329
127,347
128,364
129,417
130,354
131,367
132,352
133,324
134,361
135,354
136,361
137,339
138,395
139,354
140,347
141,351
142,360
143,359
144,357
145,371
146,333
147,408
148,344
149,327
150,361
151,348
152,394
153,346
154,361
155,333
156,365
157,376
158,367
159,342
160,364
161,376
162,357
163,385
164,323
165,344
166,377
167,346
168,361
169,361
170,386
171,332
172,361
173,354
174,358
175,383
176,335
177,374
178,328
179,408
180,348
181,352
182,352
183,381
184,380
185,363
186,355
187,361
188,343
189,365
190,338
191,347
192,318
193,365
194,307
195,327
196,314
197,316
198,293
199,298
200,312
201,276
202,295
203,269
204,279
205,251
206,256
207,272
208,241
209,242
210,232
211,242
212,204
213,219
214,200
215,204
216,201
217,190
218,179
219,177
220,165
221,157
222,155
223,153
224,147
225,138
226,121
227,119
228,111
229,106
230,92
231,89
232,90
233,68
234,76
235,66
236,59
237,46
238,43
239,39
240,39
241,37
242,25
243,23
244,24
245,20
246,18
247,21
248,17
249,15
250,13
251,11
252,9
253,5
254,2
255,0
